time;T_C;W_raw_kg
2026-08-10T14:05:16Z;38.0;21.85
2026-08-10T14:09:33Z;37.0;21.83
2026-08-10T14:13:49Z;37.5;21.84
2026-08-10T14:18:05Z;37.5;21.84
2026-08-10T14:22:22Z;37.0;21.84
2026-08-10T14:26:38Z;37.5;21.84
2026-08-10T14:30:55Z;38.0;21.85
2026-08-10T14:35:20Z;37.5;21.85
2026-08-10T14:39:29Z;37.5;21.84
2026-08-10T14:43:45Z;38.0;21.84
2026-08-10T14:48:10Z;37.5;21.85
2026-08-10T14:52:19Z;38.0;21.83
2026-08-10T14:56:35Z;38.0;21.83
2026-08-10T15:00:52Z;37.0;21.81
2026-08-10T15:05:08Z;36.5;21.83
2026-08-10T15:09:25Z;37.0;21.85
2026-08-10T15:13:41Z;37.0;21.85
2026-08-10T15:17:58Z;37.5;21.84
2026-08-10T15:22:14Z;36.5;21.85
2026-08-10T15:26:31Z;36.0;21.83
2026-08-10T15:30:47Z;36.0;21.88
2026-08-10T15:35:03Z;36.5;21.87
2026-08-10T15:39:20Z;36.0;21.85
2026-08-10T15:43:36Z;36.5;21.88
2026-08-10T15:47:53Z;36.5;21.88
2026-08-10T15:52:09Z;36.5;21.88
2026-08-10T15:56:26Z;35.5;21.87
2026-08-10T16:00:42Z;36.0;21.87
2026-08-10T16:04:58Z;36.0;21.88
2026-08-10T16:09:15Z;36.5;21.87
2026-08-10T16:13:31Z;36.0;21.88
2026-08-10T16:17:48Z;35.5;21.88
2026-08-10T16:22:04Z;35.0;21.88
2026-08-10T16:26:20Z;35.0;21.89
2026-08-10T16:30:37Z;35.5;21.89
2026-08-10T16:34:53Z;35.5;21.88
2026-08-10T16:39:10Z;34.5;21.87
2026-08-10T16:43:26Z;35.0;21.88
2026-08-10T16:47:43Z;34.0;21.89
2026-08-10T16:51:59Z;34.0;21.91
2026-08-10T16:56:16Z;33.5;21.89
2026-08-10T17:00:32Z;33.0;21.9
2026-08-10T17:04:49Z;33.0;21.91
2026-08-10T17:09:05Z;33.5;21.91
2026-08-10T17:13:21Z;33.5;21.9
2026-08-10T17:17:38Z;33.0;21.92
2026-08-10T17:21:54Z;33.5;21.91
2026-08-10T17:26:11Z;33.0;21.92
2026-08-10T17:30:27Z;33.5;21.91
2026-08-10T17:34:44Z;33.0;21.91
2026-08-10T17:39:00Z;32.5;21.92
2026-08-10T17:43:16Z;33.0;21.93
2026-08-10T17:47:33Z;33.0;21.92
2026-08-10T17:51:49Z;32.5;21.94
2026-08-10T17:56:06Z;32.0;21.92
2026-08-10T18:00:22Z;32.5;21.92
2026-08-10T18:04:39Z;32.5;21.95
2026-08-10T18:08:55Z;32.0;21.94
2026-08-10T18:13:11Z;32.5;21.95
2026-08-10T18:17:28Z;32.0;21.92
2026-08-10T18:21:44Z;31.5;21.95
2026-08-10T18:26:01Z;31.5;21.95
2026-08-10T18:30:17Z;31.5;21.94
2026-08-10T18:34:34Z;31.5;21.94
2026-08-10T18:38:50Z;31.5;21.94
2026-08-10T18:43:06Z;31.0;21.94
2026-08-10T18:47:23Z;31.0;21.94
2026-08-10T18:51:39Z;31.0;21.96
2026-08-10T18:55:56Z;30.5;21.95
2026-08-10T19:00:12Z;30.5;21.96
2026-08-10T19:04:29Z;30.5;21.95
2026-08-10T19:08:45Z;30.0;21.96
2026-08-10T19:13:02Z;30.0;21.97
2026-08-10T19:17:18Z;29.5;21.97
2026-08-10T19:21:34Z;29.5;21.96
2026-08-10T19:25:51Z;29.5;21.96
2026-08-10T19:30:07Z;29.0;21.96
2026-08-10T19:34:24Z;29.0;21.99
2026-08-10T19:38:40Z;29.0;21.99
2026-08-10T19:42:57Z;29.0;21.99
2026-08-10T19:47:13Z;28.5;21.98
2026-08-10T19:51:29Z;28.5;21.98
2026-08-10T19:55:46Z;28.0;21.98
2026-08-10T20:00:04Z;28.0;21.99
2026-08-10T20:04:19Z;28.0;21.99
2026-08-10T20:08:35Z;28.0;21.99
2026-08-10T20:12:52Z;28.0;22.01
2026-08-10T20:17:08Z;27.5;21.99
2026-08-10T20:21:24Z;27.5;22.01
2026-08-10T20:25:41Z;27.5;22.02
2026-08-10T20:29:57Z;27.0;22.0
2026-08-10T20:34:14Z;27.0;22.0
2026-08-10T20:38:30Z;27.0;22.0
2026-08-10T20:42:47Z;27.0;22.01
2026-08-10T20:47:03Z;27.0;22.02
2026-08-10T20:51:19Z;27.0;22.01
