Timestamp(ms),Current(uA)
1352210,10951.410
1352220,10906.621
1352230,10903.688
1352240,10950.175
1352250,10895.330
1352260,10915.141
1352270,10997.245
1352280,10920.129
1352290,10937.532
1352300,10922.065
1352310,10877.990
1352320,10911.254
1352330,10922.238
1352340,10918.971
1352350,11000.713
1352360,10879.144
1352370,10815.000
1352380,10898.233
1352390,10880.065
1352400,10932.111
1352410,10923.813
1352420,10848.138
1352430,10930.827
1352440,10912.372
1352450,10897.006
1352460,10905.066
1352470,10884.548
1352480,10845.018
1352490,10845.968
1352500,10828.887
1352510,10957.589
1352520,10888.016
1352530,10894.764
1352540,10894.472
1352550,10928.115
1352560,10906.326
1352570,10904.798
1352580,10873.683
1352590,10926.385
1352600,10895.697
1352610,10862.962
1352620,10989.692
1352630,10937.950
1352640,10936.584
1352650,10924.847
1352660,10934.757
1352670,10957.310
1352680,10946.609
1352690,10899.970
1352700,10914.075
1352710,10962.669
1352720,10916.939
1352730,10828.953
1352740,10869.262
1352750,10860.295
1352760,10849.168
1352770,10870.327
1352780,10854.366
1352790,10785.270
1352800,10857.428
1352810,10832.002
1352820,10906.934
1352830,10908.758
1352840,10903.938
1352850,10868.711
1352860,10900.222
1352870,10852.760
1352880,10899.380
1352890,10915.422
1352900,10842.623
1352910,10930.416
1352920,10994.226
1352930,10949.319
1352940,10934.118
1352950,10377.455
1352960,9706.580
1352970,9747.427
1352980,9939.609
1352990,10715.785
1353000,10422.159
1353010,10075.952
1353020,9703.580
1353030,32043.887
1353040,60876.230
1353050,71523.047
1353060,75431.258
1353070,76856.055
1353080,77407.125
1353090,77701.641
1353100,77735.992
1353110,77783.688
1353120,77753.211
1353130,77743.852
1353140,77574.117
1353150,77450.313
1353160,77503.102
1353170,77569.883
1353180,77569.625
1353190,77560.172
1353200,77684.039
1353210,77715.891
1353220,77698.352
1353230,77663.789
1353240,77747.641
1353250,77645.859
1353260,77584.273
1353270,77654.539
1353280,77648.094
1353290,77735.156
1353300,77717.273
1353310,77688.297
1353320,77578.242
1353330,77638.508
1353340,77552.438
1353350,77526.305
1353360,77543.797
1353370,77584.734
1353380,77607.617
1353390,77581.766
1353400,77565.891
1353410,77572.141
1353420,77600.422
1353430,77527.523
1353440,77470.563
1353450,77505.203
1353460,77498.773
1353470,77572.766
1353480,77593.414
1353490,77639.117
1353500,77602.570
1353510,77534.281
1353520,75462.805
1353530,33204.363
1353540,17620.871
1353550,11841.966
1353560,9806.861
1353570,9030.045
1353580,8783.628
1353590,8680.317
1353600,8639.940
1353610,8480.354
1353620,8566.894
1353630,8553.110
1353640,8565.466
1353650,8616.590
1353660,8554.570
1353670,8494.747
1353680,8506.727
1353690,8485.146
1353700,8547.037
1353710,8566.960
1353720,8533.546
1353730,8541.600
1353740,8555.693
1353750,8546.514
1353760,8511.486
1353770,8492.489
1353780,8465.982
1353790,8506.068
1353800,8496.222
1353810,8486.332
1353820,8496.897
1353830,8462.733
1353840,8491.768
1353850,8479.000
1353860,8504.937
1353870,8492.309
1353880,8482.664
1353890,8440.289
1353900,8514.710
1353910,8575.568
1353920,8509.111
1353930,8484.183
1353940,8509.109
1353950,8566.777
1353960,8473.169
1353970,8589.414
1353980,8576.500
1353990,8503.024
1354000,8508.706
1354010,8526.967
1354020,8568.749
1354030,8592.040
1354040,8599.505
1354050,8598.062
1354060,8552.513
1354070,8514.808
1354080,8607.895
1354090,8532.834
1354100,8549.404
1354110,8583.617
1354120,8537.402
1354130,8530.739
1354140,8553.321
1354150,8521.809
1354160,8543.012
1354170,8497.505
