Timestamp(ms),Current(uA)
61920,8835.540
61930,8684.496
61940,8619.345
61950,8717.729
61960,8811.343
61970,8750.560
61980,8752.995
61990,8835.811
62000,8824.726
62010,8488.546
62020,8492.851
62030,8768.817
62040,8778.339
62050,8833.644
62060,8831.391
62070,8632.535
62080,8670.843
62090,8715.447
62100,8680.246
62110,8831.535
62120,8897.608
62130,8855.249
62140,8713.896
62150,8665.928
62160,8599.322
62170,8815.207
62180,8711.923
62190,8572.230
62200,8633.910
62210,8701.795
62220,8764.716
62230,8643.409
62240,8702.175
62250,8823.921
62260,8781.943
62270,8880.939
62280,9015.797
62290,8748.752
62300,8826.985
62310,8895.556
62320,8792.880
62330,8786.202
62340,8553.431
62350,9018.586
62360,8672.021
62370,8607.122
62380,8601.365
62390,8579.731
62400,8626.776
62410,8661.034
62420,8657.623
62430,8766.606
62440,8828.518
62450,9002.668
62460,8995.417
62470,9101.571
62480,9064.771
62490,8982.754
62500,8730.867
62510,8678.056
62520,8941.905
62530,8576.052
62540,8569.087
62550,8812.775
62560,8603.554
62570,8660.963
62580,8752.460
62590,8702.744
62600,8748.490
62610,8974.554
62620,8631.786
62630,8835.609
62640,9092.376
62650,8801.054
62660,8674.347
62670,8786.096
62680,8762.925
62690,8837.957
62700,8928.469
62710,8969.939
62720,8987.988
62730,8781.979
62740,8902.740
62750,8948.980
62760,8966.627
62770,8720.101
62780,8955.275
62790,8824.106
62800,8837.667
62810,8856.896
62820,9017.802
62830,8861.428
62840,8557.431
62850,8359.875
62860,8805.459
62870,8850.484
62880,8784.125
62890,8798.065
62900,8910.719
62910,8731.298
62920,8692.970
62930,8906.367
62940,9106.365
62950,8825.959
62960,8936.686
62970,8840.384
62980,8937.399
62990,8565.616
63000,8517.942
63010,8717.201
63020,8795.825
63030,8874.953
63040,8755.814
63050,8831.513
63060,9217.127
63070,8945.792
63080,8823.831
63090,8680.475
63100,8886.801
63110,8758.192
63120,8479.948
63130,8682.812
63140,8769.245
63150,8949.061
63160,8917.525
63170,9181.178
63180,8899.751
63190,8782.993
63200,8719.070
63210,8591.890
63220,8719.371
63230,8732.357
63240,8793.435
63250,8710.956
63260,8653.300
63270,8868.612
63280,8781.286
63290,8708.706
63300,8810.160
63310,8865.738
63320,9000.168
63330,8583.966
63340,8445.955
63350,8606.580
63360,8738.066
63370,8633.209
63380,8871.854
63390,8641.495
63400,8680.314
63410,8856.201
63420,8601.372
63430,8737.304
63440,8759.944
63450,8998.205
63460,8907.843
63470,8786.337
63480,8640.404
63490,8790.343
63500,8923.193
63510,9122.285
63520,9042.412
63530,9188.282
63540,8771.943
63550,8625.285
63560,8835.472
63570,9122.106
63580,8763.729
63590,8575.550
63600,8557.537
63610,8680.606
63620,8534.000
63630,8687.443
63640,8485.792
63650,8474.632
63660,8574.454
63670,8475.001
63680,8805.403
63690,8936.279
63700,8631.504
63710,8672.106
63720,8963.820
63730,9018.649
63740,8740.782
63750,8707.895
63760,8933.167
63770,8973.729
63780,8617.314
63790,9088.986
63800,9065.720
63810,8928.814
63820,8906.038
63830,8782.857
63840,8715.624
63850,8934.977
63860,8766.401
63870,8923.520
63880,8778.486
63890,8797.100
63900,8682.299
63910,8691.268
63920,8789.819
63930,8560.029
63940,8585.920
63950,8785.636
63960,9163.122
63970,10855.285
63980,12578.723
63990,13384.787
64000,13546.479
64010,13810.814
64020,13734.063
64030,13642.353
64040,13619.446
64050,13819.183
64060,13817.765
64070,13750.138
64080,13820.195
64090,13958.642
64100,14026.569
64110,14124.407
64120,14144.532
64130,14040.009
64140,14104.636
64150,13996.776
64160,13922.192
64170,14012.501
64180,14031.611
64190,13960.966
64200,13949.719
64210,13959.998
64220,12830.170
64230,10195.112
64240,9460.728
64250,9301.498
64260,9651.668
64270,7160.503
64280,2707.056
64290,997.930
64300,370.999
64310,137.869
64320,54.807
64330,21.582
64340,29.040
64350,11.689
64360,5.182
64370,2.846
64380,1.904
64390,1.555
64400,1.470
64410,1.420
64420,1.392
64430,4.590
64440,3.114
64450,5.340
64460,3.643
64470,8.230
